Container nvidia build =  25165078
out dir is .
python   run_squad.py --init_checkpoint=/data/bert_large/bert_large_uncased.pt --do_train --train_file=/data/squad/v1.1/train-v1.1.json --train_batch_size=18  --do_lower_case  --bert_model=bert-large-uncased  --learning_rate=0.0  --seed=1  --num_train_epochs=2.0  --max_seq_length=384  --doc_stride=128  --output_dir=.  --vocab_file=/data/bert_large/bert-large-uncased-vocab.txt  --config_file=/data/bert_large/bert_config.json  --max_steps=100   |& tee ./logfile.txt

Iteration:   0%|          | 0/4925 [00:00<?, ?it/s]/workspace/examples/bert/optimization.py:150: UserWarning: This overload of add_ is deprecated:
	add_(Number alpha, Tensor other)
Consider using one of the following signatures instead:
	add_(Tensor other, *, Number alpha) (Triggered internally at  /opt/pytorch/pytorch/torch/csrc/utils/python_arg_parser.cpp:1026.)
  next_m.mul_(beta1).add_(1 - beta1, grad)

Iteration:   0%|          | 1/4925 [00:02<3:04:10,  2.24s/it]
Iteration:   0%|          | 2/4925 [00:03<2:46:09,  2.03s/it]
Iteration:   0%|          | 3/4925 [00:05<2:33:42,  1.87s/it]
Iteration:   1%|          | 39/4925 [01:01<2:09:06,  1.59s/it]
Iteration:   1%|          | 40/4925 [01:02<2:09:17,  1.59s/it]
Iteration:   1%|          | 41/4925 [01:04<2:09:30,  1.59s/it]
Iteration:   1%|          | 42/4925 [01:05<2:09:46,  1.59s/it]
Iteration:   1%|          | 43/4925 [01:07<2:09:47,  1.60s/it]
Iteration:   1%|          | 44/4925 [01:09<2:09:53,  1.60s/it]
Iteration:   1%|          | 45/4925 [01:10<2:10:00,  1.60s/it]
Iteration:   1%|          | 46/4925 [01:12<2:09:57,  1.60s/it]
Iteration:   1%|          | 47/4925 [01:13<2:09:54,  1.60s/it]
Iteration:   1%|          | 48/4925 [01:15<2:09:44,  1.60s/it]
Iteration:   1%|          | 49/4925 [01:17<2:09:40,  1.60s/it]
Iteration:   1%|          | 50/4925 [01:18<2:10:05,  1.60s/it]
Iteration:   1%|          | 51/4925 [01:20<2:10:12,  1.60s/it]
Iteration:   1%|          | 52/4925 [01:21<2:10:02,  1.60s/it]
Iteration:   1%|          | 53/4925 [01:23<2:10:02,  1.60s/it]
Iteration:   1%|          | 54/4925 [01:25<2:09:55,  1.60s/it]
Iteration:   1%|          | 55/4925 [01:26<2:09:56,  1.60s/it]
Iteration:   1%|          | 56/4925 [01:28<2:09:50,  1.60s/it]
Iteration:   1%|          | 57/4925 [01:29<2:09:54,  1.60s/it]
Iteration:   1%|          | 58/4925 [01:31<2:10:06,  1.60s/it]
Iteration:   1%|          | 59/4925 [01:33<2:10:05,  1.60s/it]
Iteration:   1%|          | 60/4925 [01:34<2:10:02,  1.60s/it]
Iteration:   1%|          | 61/4925 [01:36<2:09:56,  1.60s/it]
Iteration:   1%|▏         | 62/4925 [01:37<2:09:45,  1.60s/it]
Iteration:   1%|▏         | 63/4925 [01:39<2:09:28,  1.60s/it]
Iteration:   1%|▏         | 64/4925 [01:41<2:09:12,  1.59s/it]
Iteration:   1%|▏         | 65/4925 [01:42<2:08:57,  1.59s/it]
Iteration:   1%|▏         | 66/4925 [01:44<2:08:47,  1.59s/it]
Iteration:   1%|▏         | 67/4925 [01:45<2:08:42,  1.59s/it]
Iteration:   1%|▏         | 68/4925 [01:47<2:08:33,  1.59s/it]
Iteration:   1%|▏         | 69/4925 [01:49<2:08:28,  1.59s/it]
Iteration:   1%|▏         | 70/4925 [01:50<2:08:00,  1.58s/it]
Iteration:   1%|▏         | 71/4925 [01:52<2:07:49,  1.58s/it]
Iteration:   1%|▏         | 72/4925 [01:53<2:07:38,  1.58s/it]
Iteration:   1%|▏         | 73/4925 [01:55<2:07:19,  1.57s/it]
Iteration:   2%|▏         | 74/4925 [01:56<2:07:09,  1.57s/it]
Iteration:   2%|▏         | 75/4925 [01:58<2:07:06,  1.57s/it]
Iteration:   2%|▏         | 76/4925 [02:00<2:07:25,  1.58s/it]
Iteration:   2%|▏         | 77/4925 [02:01<2:07:09,  1.57s/it]
Iteration:   2%|▏         | 78/4925 [02:03<2:06:54,  1.57s/it]
Iteration:   2%|▏         | 79/4925 [02:04<2:06:45,  1.57s/it]
Iteration:   2%|▏         | 80/4925 [02:06<2:06:36,  1.57s/it]
Iteration:   2%|▏         | 81/4925 [02:07<2:06:38,  1.57s/it]
Iteration:   2%|▏         | 82/4925 [02:09<2:06:33,  1.57s/it]
Iteration:   2%|▏         | 83/4925 [02:11<2:06:49,  1.57s/it]
Iteration:   2%|▏         | 84/4925 [02:12<2:06:45,  1.57s/it]
Iteration:   2%|▏         | 85/4925 [02:14<2:06:41,  1.57s/it]
Iteration:   2%|▏         | 86/4925 [02:15<2:06:29,  1.57s/it]
Iteration:   2%|▏         | 87/4925 [02:17<2:06:16,  1.57s/it]
Iteration:   2%|▏         | 88/4925 [02:18<2:06:09,  1.56s/it]
Iteration:   2%|▏         | 89/4925 [02:20<2:06:14,  1.57s/it]
Iteration:   2%|▏         | 90/4925 [02:22<2:06:04,  1.56s/it]
Iteration:   2%|▏         | 91/4925 [02:23<2:06:02,  1.56s/it]
Iteration:   2%|▏         | 92/4925 [02:25<2:06:01,  1.56s/it]
Iteration:   2%|▏         | 93/4925 [02:26<2:05:56,  1.56s/it]
Iteration:   2%|▏         | 94/4925 [02:28<2:05:49,  1.56s/it]
Iteration:   2%|▏         | 95/4925 [02:29<2:05:45,  1.56s/it]
