Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7fef93661730>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-03-07 03:27:57.404684 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 2  batch_size : 160  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : False  local_rank : 0  gpu : 0  world_size : 1 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-03-07 03:28:06.007092 - Epoch: 0 Iteration: 14  train.loss : 9.30469  train.total_ips : 539.52 img/s
DLL 2020-03-07 03:28:06.303751 - Epoch: 0 Iteration: 15  train.loss : 9.68750  train.total_ips : 539.46 img/s
DLL 2020-03-07 03:28:06.600312 - Epoch: 0 Iteration: 16  train.loss : 8.25000  train.total_ips : 539.62 img/s
DLL 2020-03-07 03:28:06.896687 - Epoch: 0 Iteration: 17  train.loss : 7.61328  train.total_ips : 539.97 img/s
DLL 2020-03-07 03:28:07.193101 - Epoch: 0 Iteration: 18  train.loss : 7.76172  train.total_ips : 539.94 img/s
DLL 2020-03-07 03:28:07.489969 - Epoch: 0 Iteration: 19  train.loss : 7.86719  train.total_ips : 539.06 img/s
DLL 2020-03-07 03:28:07.786389 - Epoch: 0 Iteration: 20  train.loss : 7.55859  train.total_ips : 539.88 img/s
DLL 2020-03-07 03:28:08.083188 - Epoch: 0 Iteration: 21  train.loss : 9.84375  train.total_ips : 539.18 img/s
DLL 2020-03-07 03:28:08.379439 - Epoch: 0 Iteration: 22  train.loss : 7.44531  train.total_ips : 540.20 img/s
DLL 2020-03-07 03:28:08.676179 - Epoch: 0 Iteration: 23  train.loss : 7.56641  train.total_ips : 539.29 img/s
DLL 2020-03-07 03:28:08.972943 - Epoch: 0 Iteration: 24  train.loss : 7.47656  train.total_ips : 539.26 img/s
DLL 2020-03-07 03:28:09.269519 - Epoch: 0 Iteration: 25  train.loss : 7.42578  train.total_ips : 539.61 img/s
DLL 2020-03-07 03:28:09.565798 - Epoch: 0 Iteration: 26  train.loss : 7.45703  train.total_ips : 540.14 img/s
DLL 2020-03-07 03:28:09.861949 - Epoch: 0 Iteration: 27  train.loss : 7.10938  train.total_ips : 540.38 img/s
DLL 2020-03-07 03:28:10.158954 - Epoch: 0 Iteration: 28  train.loss : 7.39062  train.total_ips : 538.83 img/s
DLL 2020-03-07 03:28:10.455463 - Epoch: 0 Iteration: 29  train.loss : 7.26172  train.total_ips : 539.72 img/s
DLL 2020-03-07 03:28:10.752318 - Epoch: 0 Iteration: 30  train.loss : 6.94531  train.total_ips : 539.09 img/s
DLL 2020-03-07 03:28:11.048788 - Epoch: 0 Iteration: 31  train.loss : 7.10938  train.total_ips : 539.80 img/s
DLL 2020-03-07 03:28:11.345424 - Epoch: 0 Iteration: 32  train.loss : 7.22266  train.total_ips : 539.49 img/s
DLL 2020-03-07 03:28:11.642233 - Epoch: 0 Iteration: 33  train.loss : 6.99219  train.total_ips : 539.17 img/s
DLL 2020-03-07 03:28:11.939324 - Epoch: 0 Iteration: 34  train.loss : 7.03125  train.total_ips : 538.66 img/s
DLL 2020-03-07 03:28:12.237181 - Epoch: 0 Iteration: 35  train.loss : 6.98047  train.total_ips : 537.34 img/s
DLL 2020-03-07 03:28:12.534305 - Epoch: 0 Iteration: 36  train.loss : 7.08203  train.total_ips : 538.60 img/s
DLL 2020-03-07 03:28:12.831183 - Epoch: 0 Iteration: 37  train.loss : 6.94141  train.total_ips : 539.05 img/s
DLL 2020-03-07 03:28:13.128832 - Epoch: 0 Iteration: 38  train.loss : 7.07031  train.total_ips : 537.65 img/s
DLL 2020-03-07 03:28:13.426185 - Epoch: 0 Iteration: 39  train.loss : 7.01562  train.total_ips : 538.19 img/s
DLL 2020-03-07 03:28:13.723214 - Epoch: 0 Iteration: 40  train.loss : 7.04297  train.total_ips : 538.77 img/s
DLL 2020-03-07 03:28:14.020320 - Epoch: 0 Iteration: 41  train.loss : 7.08594  train.total_ips : 538.64 img/s
DLL 2020-03-07 03:28:14.317082 - Epoch: 0 Iteration: 42  train.loss : 7.06250  train.total_ips : 539.28 img/s
DLL 2020-03-07 03:28:14.613813 - Epoch: 0 Iteration: 43  train.loss : 7.01562  train.total_ips : 539.31 img/s
DLL 2020-03-07 03:28:14.910857 - Epoch: 0 Iteration: 44  train.loss : 7.01562  train.total_ips : 538.74 img/s
DLL 2020-03-07 03:28:15.207893 - Epoch: 0 Iteration: 45  train.loss : 7.07031  train.total_ips : 538.82 img/s
DLL 2020-03-07 03:28:15.504958 - Epoch: 0 Iteration: 46  train.loss : 7.01953  train.total_ips : 538.72 img/s
DLL 2020-03-07 03:28:15.802081 - Epoch: 0 Iteration: 47  train.loss : 6.94141  train.total_ips : 538.62 img/s
DLL 2020-03-07 03:28:16.098881 - Epoch: 0 Iteration: 48  train.loss : 6.94922  train.total_ips : 539.18 img/s
DLL 2020-03-07 03:28:16.396002 - Epoch: 0 Iteration: 49  train.loss : 6.92969  train.total_ips : 538.62 img/s
DLL 2020-03-07 03:28:16.692826 - Epoch: 0 Iteration: 50  train.loss : 6.94141  train.total_ips : 539.14 img/s
DLL 2020-03-07 03:28:16.989409 - Epoch: 0 Iteration: 51  train.loss : 6.93750  train.total_ips : 539.58 img/s
DLL 2020-03-07 03:28:17.286395 - Epoch: 0 Iteration: 52  train.loss : 6.92969  train.total_ips : 538.87 img/s
DLL 2020-03-07 03:28:17.583705 - Epoch: 0 Iteration: 53  train.loss : 6.94531  train.total_ips : 538.26 img/s
DLL 2020-03-07 03:28:17.880970 - Epoch: 0 Iteration: 54  train.loss : 7.00781  train.total_ips : 538.35 img/s
DLL 2020-03-07 03:28:18.178514 - Epoch: 0 Iteration: 55  train.loss : 6.90625  train.total_ips : 537.86 img/s
DLL 2020-03-07 03:28:18.475516 - Epoch: 0 Iteration: 56  train.loss : 6.96875  train.total_ips : 538.82 img/s
DLL 2020-03-07 03:28:18.772275 - Epoch: 0 Iteration: 57  train.loss : 6.92969  train.total_ips : 539.27 img/s
DLL 2020-03-07 03:28:19.069297 - Epoch: 0 Iteration: 58  train.loss : 6.94141  train.total_ips : 538.79 img/s
DLL 2020-03-07 03:28:19.366881 - Epoch: 0 Iteration: 59  train.loss : 6.97266  train.total_ips : 537.79 img/s
DLL 2020-03-07 03:28:19.663852 - Epoch: 0 Iteration: 60  train.loss : 6.94922  train.total_ips : 538.88 img/s
DLL 2020-03-07 03:28:19.961123 - Epoch: 0 Iteration: 61  train.loss : 6.92969  train.total_ips : 538.34 img/s
DLL 2020-03-07 03:28:20.258241 - Epoch: 0 Iteration: 62  train.loss : 6.91797  train.total_ips : 538.63 img/s
DLL 2020-03-07 03:28:20.555331 - Epoch: 0 Iteration: 63  train.loss : 6.91016  train.total_ips : 538.66 img/s
DLL 2020-03-07 03:28:20.852620 - Epoch: 0 Iteration: 64  train.loss : 6.93359  train.total_ips : 538.33 img/s
DLL 2020-03-07 03:28:21.149997 - Epoch: 0 Iteration: 65  train.loss : 6.92188  train.total_ips : 538.15 img/s
DLL 2020-03-07 03:28:21.447182 - Epoch: 0 Iteration: 66  train.loss : 6.89453  train.total_ips : 538.49 img/s
DLL 2020-03-07 03:28:21.744440 - Epoch: 0 Iteration: 67  train.loss : 6.90234  train.total_ips : 538.36 img/s
DLL 2020-03-07 03:28:22.041896 - Epoch: 0 Iteration: 68  train.loss : 6.92188  train.total_ips : 538.00 img/s
DLL 2020-03-07 03:28:22.339454 - Epoch: 0 Iteration: 69  train.loss : 6.91406  train.total_ips : 537.83 img/s
DLL 2020-03-07 03:28:22.636561 - Epoch: 0 Iteration: 70  train.loss : 6.88672  train.total_ips : 538.63 img/s
DLL 2020-03-07 03:28:22.934095 - Epoch: 0 Iteration: 71  train.loss : 6.91016  train.total_ips : 537.86 img/s
DLL 2020-03-07 03:28:23.231517 - Epoch: 0 Iteration: 72  train.loss : 6.91016  train.total_ips : 538.10 img/s
DLL 2020-03-07 03:28:23.528934 - Epoch: 0 Iteration: 73  train.loss : 6.91406  train.total_ips : 538.10 img/s
DLL 2020-03-07 03:28:23.825860 - Epoch: 0 Iteration: 74  train.loss : 6.90234  train.total_ips : 538.95 img/s
DLL 2020-03-07 03:28:24.123076 - Epoch: 0 Iteration: 75  train.loss : 6.93750  train.total_ips : 538.43 img/s
DLL 2020-03-07 03:28:24.420857 - Epoch: 0 Iteration: 76  train.loss : 6.92578  train.total_ips : 537.42 img/s
DLL 2020-03-07 03:28:24.718344 - Epoch: 0 Iteration: 77  train.loss : 6.92969  train.total_ips : 537.94 img/s
DLL 2020-03-07 03:28:25.015732 - Epoch: 0 Iteration: 78  train.loss : 6.91406  train.total_ips : 538.12 img/s
DLL 2020-03-07 03:28:25.313889 - Epoch: 0 Iteration: 79  train.loss : 6.91406  train.total_ips : 536.75 img/s
DLL 2020-03-07 03:28:25.612572 - Epoch: 0 Iteration: 80  train.loss : 7.35547  train.total_ips : 535.79 img/s
DLL 2020-03-07 03:28:25.910003 - Epoch: 0 Iteration: 81  train.loss : 6.92188  train.total_ips : 538.05 img/s
DLL 2020-03-07 03:28:26.208007 - Epoch: 0 Iteration: 82  train.loss : 6.91797  train.total_ips : 537.04 img/s
DLL 2020-03-07 03:28:26.505865 - Epoch: 0 Iteration: 83  train.loss : 6.91406  train.total_ips : 537.28 img/s
DLL 2020-03-07 03:28:26.803683 - Epoch: 0 Iteration: 84  train.loss : 6.96875  train.total_ips : 537.34 img/s
DLL 2020-03-07 03:28:27.101270 - Epoch: 0 Iteration: 85  train.loss : 6.93750  train.total_ips : 537.76 img/s
DLL 2020-03-07 03:28:27.398748 - Epoch: 0 Iteration: 86  train.loss : 6.91016  train.total_ips : 537.96 img/s
DLL 2020-03-07 03:28:27.697149 - Epoch: 0 Iteration: 87  train.loss : 6.98438  train.total_ips : 536.31 img/s
DLL 2020-03-07 03:28:27.995223 - Epoch: 0 Iteration: 88  train.loss : 6.92969  train.total_ips : 536.88 img/s
DLL 2020-03-07 03:28:28.293312 - Epoch: 0 Iteration: 89  train.loss : 7.08594  train.total_ips : 536.87 img/s
DLL 2020-03-07 03:28:28.591270 - Epoch: 0 Iteration: 90  train.loss : 6.92578  train.total_ips : 537.10 img/s
DLL 2020-03-07 03:28:28.889612 - Epoch: 0 Iteration: 91  train.loss : 6.95312  train.total_ips : 536.40 img/s
DLL 2020-03-07 03:28:29.187747 - Epoch: 0 Iteration: 92  train.loss : 7.01172  train.total_ips : 536.82 img/s
DLL 2020-03-07 03:28:29.485461 - Epoch: 0 Iteration: 93  train.loss : 6.90625  train.total_ips : 537.52 img/s
DLL 2020-03-07 03:28:29.783249 - Epoch: 0 Iteration: 94  train.loss : 6.88281  train.total_ips : 537.40 img/s
DLL 2020-03-07 03:28:30.081003 - Epoch: 0 Iteration: 95  train.loss : 6.89062  train.total_ips : 537.45 img/s
DLL 2020-03-07 03:28:30.379190 - Epoch: 0 Iteration: 96  train.loss : 6.93359  train.total_ips : 536.70 img/s
DLL 2020-03-07 03:28:30.676883 - Epoch: 0 Iteration: 97  train.loss : 6.93750  train.total_ips : 537.58 img/s
DLL 2020-03-07 03:28:30.974680 - Epoch: 0 Iteration: 98  train.loss : 6.92969  train.total_ips : 537.39 img/s
DLL 2020-03-07 03:28:31.272255 - Epoch: 0 Iteration: 99  train.loss : 6.94531  train.total_ips : 537.80 img/s
DLL 2020-03-07 03:28:31.570319 - Epoch: 0  train.loss : 7.34484  train.total_ips : 532.61 img/s
DLL 2020-03-07 03:28:31.570428 - Epoch: 0  lr : 0.1  train.compute_ips : 534.31 img/s train.data_time : 0.00101 s train.compute_time : 0.34037 s
SAVING ./checkpoint.pth.tar
DLL 2020-03-07 03:28:32.040728 - Epoch: 1 Iteration: 1  train.loss : 6.91797  train.total_ips : 537.68 img/s
DLL 2020-03-07 03:28:32.338535 - Epoch: 1 Iteration: 2  train.loss : 6.91016  train.total_ips : 537.39 img/s
DLL 2020-03-07 03:28:32.636513 - Epoch: 1 Iteration: 3  train.loss : 6.92578  train.total_ips : 537.06 img/s
DLL 2020-03-07 03:28:32.934548 - Epoch: 1 Iteration: 4  train.loss : 6.91406  train.total_ips : 537.00 img/s
DLL 2020-03-07 03:28:33.232784 - Epoch: 1 Iteration: 5  train.loss : 6.89453  train.total_ips : 536.58 img/s
DLL 2020-03-07 03:28:33.531057 - Epoch: 1 Iteration: 6  train.loss : 6.95312  train.total_ips : 536.52 img/s
DLL 2020-03-07 03:28:33.829858 - Epoch: 1 Iteration: 7  train.loss : 6.89062  train.total_ips : 535.59 img/s
DLL 2020-03-07 03:28:34.127912 - Epoch: 1 Iteration: 8  train.loss : 6.92578  train.total_ips : 536.92 img/s
DLL 2020-03-07 03:28:34.426380 - Epoch: 1 Iteration: 9  train.loss : 6.89062  train.total_ips : 536.18 img/s
DLL 2020-03-07 03:28:34.725017 - Epoch: 1 Iteration: 10  train.loss : 6.90234  train.total_ips : 535.89 img/s
DLL 2020-03-07 03:28:35.023408 - Epoch: 1 Iteration: 11  train.loss : 6.90625  train.total_ips : 536.33 img/s
DLL 2020-03-07 03:28:35.321450 - Epoch: 1 Iteration: 12  train.loss : 6.91797  train.total_ips : 536.95 img/s
DLL 2020-03-07 03:28:35.620100 - Epoch: 1 Iteration: 13  train.loss : 6.88672  train.total_ips : 535.86 img/s
DLL 2020-03-07 03:28:35.918802 - Epoch: 1 Iteration: 14  train.loss : 6.93750  train.total_ips : 535.75 img/s
DLL 2020-03-07 03:28:36.217481 - Epoch: 1 Iteration: 15  train.loss : 6.89062  train.total_ips : 535.80 img/s
DLL 2020-03-07 03:28:36.516015 - Epoch: 1 Iteration: 16  train.loss : 6.90234  train.total_ips : 536.08 img/s
DLL 2020-03-07 03:28:36.814763 - Epoch: 1 Iteration: 17  train.loss : 6.92188  train.total_ips : 535.68 img/s
DLL 2020-03-07 03:28:37.113701 - Epoch: 1 Iteration: 18  train.loss : 6.92578  train.total_ips : 535.33 img/s
DLL 2020-03-07 03:28:37.412331 - Epoch: 1 Iteration: 19  train.loss : 6.92578  train.total_ips : 535.89 img/s
DLL 2020-03-07 03:28:37.710577 - Epoch: 1 Iteration: 20  train.loss : 6.91406  train.total_ips : 536.57 img/s
DLL 2020-03-07 03:28:38.008842 - Epoch: 1 Iteration: 21  train.loss : 6.91016  train.total_ips : 536.54 img/s
DLL 2020-03-07 03:28:38.307673 - Epoch: 1 Iteration: 22  train.loss : 6.90234  train.total_ips : 535.53 img/s
DLL 2020-03-07 03:28:38.606152 - Epoch: 1 Iteration: 23  train.loss : 6.90625  train.total_ips : 536.16 img/s
DLL 2020-03-07 03:28:38.904370 - Epoch: 1 Iteration: 24  train.loss : 6.90625  train.total_ips : 536.62 img/s
DLL 2020-03-07 03:28:39.202899 - Epoch: 1 Iteration: 25  train.loss : 6.90625  train.total_ips : 536.08 img/s
DLL 2020-03-07 03:28:39.501412 - Epoch: 1 Iteration: 26  train.loss : 6.91016  train.total_ips : 536.10 img/s
DLL 2020-03-07 03:28:39.799775 - Epoch: 1 Iteration: 27  train.loss : 6.91016  train.total_ips : 536.37 img/s
DLL 2020-03-07 03:28:40.098703 - Epoch: 1 Iteration: 28  train.loss : 6.86328  train.total_ips : 535.35 img/s
DLL 2020-03-07 03:28:40.397369 - Epoch: 1 Iteration: 29  train.loss : 6.92188  train.total_ips : 535.82 img/s
DLL 2020-03-07 03:28:40.695594 - Epoch: 1 Iteration: 30  train.loss : 6.91406  train.total_ips : 536.62 img/s
DLL 2020-03-07 03:28:40.994160 - Epoch: 1 Iteration: 31  train.loss : 6.87891  train.total_ips : 536.02 img/s
DLL 2020-03-07 03:28:41.292405 - Epoch: 1 Iteration: 32  train.loss : 6.88672  train.total_ips : 536.58 img/s
DLL 2020-03-07 03:28:41.590965 - Epoch: 1 Iteration: 33  train.loss : 6.89844  train.total_ips : 536.01 img/s
DLL 2020-03-07 03:28:41.889308 - Epoch: 1 Iteration: 34  train.loss : 6.91016  train.total_ips : 536.40 img/s
DLL 2020-03-07 03:28:42.188559 - Epoch: 1 Iteration: 35  train.loss : 6.94141  train.total_ips : 534.80 img/s
DLL 2020-03-07 03:28:42.487325 - Epoch: 1 Iteration: 36  train.loss : 6.91016  train.total_ips : 535.64 img/s
DLL 2020-03-07 03:28:42.786211 - Epoch: 1 Iteration: 37  train.loss : 6.90625  train.total_ips : 535.42 img/s
DLL 2020-03-07 03:28:43.085014 - Epoch: 1 Iteration: 38  train.loss : 6.89844  train.total_ips : 535.57 img/s
DLL 2020-03-07 03:28:43.383653 - Epoch: 1 Iteration: 39  train.loss : 6.90234  train.total_ips : 535.88 img/s
DLL 2020-03-07 03:28:43.682160 - Epoch: 1 Iteration: 40  train.loss : 6.91016  train.total_ips : 536.11 img/s
DLL 2020-03-07 03:28:43.980704 - Epoch: 1 Iteration: 41  train.loss : 6.89844  train.total_ips : 536.03 img/s
DLL 2020-03-07 03:28:44.279547 - Epoch: 1 Iteration: 42  train.loss : 6.93359  train.total_ips : 535.52 img/s
DLL 2020-03-07 03:28:44.578135 - Epoch: 1 Iteration: 43  train.loss : 6.87891  train.total_ips : 536.00 img/s
DLL 2020-03-07 03:28:44.876679 - Epoch: 1 Iteration: 44  train.loss : 6.91016  train.total_ips : 536.04 img/s
DLL 2020-03-07 03:28:45.175499 - Epoch: 1 Iteration: 45  train.loss : 6.91406  train.total_ips : 535.55 img/s
DLL 2020-03-07 03:28:45.474312 - Epoch: 1 Iteration: 46  train.loss : 6.92188  train.total_ips : 535.56 img/s
DLL 2020-03-07 03:28:45.773203 - Epoch: 1 Iteration: 47  train.loss : 6.91797  train.total_ips : 535.41 img/s
DLL 2020-03-07 03:28:46.072330 - Epoch: 1 Iteration: 48  train.loss : 6.90234  train.total_ips : 535.00 img/s
DLL 2020-03-07 03:28:46.371044 - Epoch: 1 Iteration: 49  train.loss : 6.89062  train.total_ips : 535.74 img/s
DLL 2020-03-07 03:28:46.669872 - Epoch: 1 Iteration: 50  train.loss : 6.89062  train.total_ips : 535.54 img/s
DLL 2020-03-07 03:28:46.968921 - Epoch: 1 Iteration: 51  train.loss : 6.91016  train.total_ips : 535.14 img/s
DLL 2020-03-07 03:28:47.267564 - Epoch: 1 Iteration: 52  train.loss : 6.87500  train.total_ips : 535.88 img/s
DLL 2020-03-07 03:28:47.566776 - Epoch: 1 Iteration: 53  train.loss : 7.01953  train.total_ips : 534.84 img/s
DLL 2020-03-07 03:28:47.865816 - Epoch: 1 Iteration: 54  train.loss : 6.89062  train.total_ips : 535.15 img/s
DLL 2020-03-07 03:28:48.164511 - Epoch: 1 Iteration: 55  train.loss : 6.89453  train.total_ips : 535.77 img/s
DLL 2020-03-07 03:28:48.463492 - Epoch: 1 Iteration: 56  train.loss : 6.89062  train.total_ips : 535.26 img/s
DLL 2020-03-07 03:28:48.762398 - Epoch: 1 Iteration: 57  train.loss : 6.89844  train.total_ips : 535.40 img/s
DLL 2020-03-07 03:28:49.060726 - Epoch: 1 Iteration: 58  train.loss : 6.89453  train.total_ips : 536.43 img/s
DLL 2020-03-07 03:28:49.360023 - Epoch: 1 Iteration: 59  train.loss : 6.91016  train.total_ips : 534.71 img/s
DLL 2020-03-07 03:28:49.659396 - Epoch: 1 Iteration: 60  train.loss : 6.91016  train.total_ips : 534.55 img/s
DLL 2020-03-07 03:28:49.958088 - Epoch: 1 Iteration: 61  train.loss : 6.89062  train.total_ips : 535.78 img/s
DLL 2020-03-07 03:28:50.256582 - Epoch: 1 Iteration: 62  train.loss : 6.90625  train.total_ips : 536.14 img/s
DLL 2020-03-07 03:28:50.555744 - Epoch: 1 Iteration: 63  train.loss : 6.89062  train.total_ips : 534.94 img/s
DLL 2020-03-07 03:28:50.854413 - Epoch: 1 Iteration: 64  train.loss : 6.93359  train.total_ips : 535.85 img/s
DLL 2020-03-07 03:28:51.153020 - Epoch: 1 Iteration: 65  train.loss : 6.91016  train.total_ips : 535.92 img/s
DLL 2020-03-07 03:28:51.452341 - Epoch: 1 Iteration: 66  train.loss : 6.88281  train.total_ips : 534.64 img/s
DLL 2020-03-07 03:28:51.751365 - Epoch: 1 Iteration: 67  train.loss : 6.91797  train.total_ips : 535.17 img/s
DLL 2020-03-07 03:28:52.049910 - Epoch: 1 Iteration: 68  train.loss : 6.90625  train.total_ips : 536.04 img/s
DLL 2020-03-07 03:28:52.349090 - Epoch: 1 Iteration: 69  train.loss : 6.90234  train.total_ips : 534.91 img/s
DLL 2020-03-07 03:28:52.648528 - Epoch: 1 Iteration: 70  train.loss : 6.91016  train.total_ips : 534.45 img/s
DLL 2020-03-07 03:28:52.947101 - Epoch: 1 Iteration: 71  train.loss : 6.91406  train.total_ips : 535.99 img/s
DLL 2020-03-07 03:28:53.246128 - Epoch: 1 Iteration: 72  train.loss : 6.90625  train.total_ips : 535.22 img/s
DLL 2020-03-07 03:28:53.545321 - Epoch: 1 Iteration: 73  train.loss : 6.93359  train.total_ips : 534.88 img/s
DLL 2020-03-07 03:28:53.844578 - Epoch: 1 Iteration: 74  train.loss : 6.91406  train.total_ips : 534.76 img/s
DLL 2020-03-07 03:28:54.143338 - Epoch: 1 Iteration: 75  train.loss : 6.88672  train.total_ips : 535.65 img/s
DLL 2020-03-07 03:28:54.442123 - Epoch: 1 Iteration: 76  train.loss : 6.87891  train.total_ips : 535.61 img/s
DLL 2020-03-07 03:28:54.741447 - Epoch: 1 Iteration: 77  train.loss : 6.89453  train.total_ips : 534.65 img/s
DLL 2020-03-07 03:28:55.040556 - Epoch: 1 Iteration: 78  train.loss : 6.88672  train.total_ips : 535.02 img/s
DLL 2020-03-07 03:28:55.339510 - Epoch: 1 Iteration: 79  train.loss : 6.90625  train.total_ips : 535.31 img/s
DLL 2020-03-07 03:28:55.638326 - Epoch: 1 Iteration: 80  train.loss : 6.92188  train.total_ips : 535.55 img/s
DLL 2020-03-07 03:28:55.937860 - Epoch: 1 Iteration: 81  train.loss : 6.91016  train.total_ips : 534.27 img/s
DLL 2020-03-07 03:28:56.236879 - Epoch: 1 Iteration: 82  train.loss : 6.90234  train.total_ips : 535.20 img/s
DLL 2020-03-07 03:28:56.535742 - Epoch: 1 Iteration: 83  train.loss : 6.90234  train.total_ips : 535.46 img/s
DLL 2020-03-07 03:28:56.835135 - Epoch: 1 Iteration: 84  train.loss : 6.90234  train.total_ips : 534.53 img/s
DLL 2020-03-07 03:28:57.134606 - Epoch: 1 Iteration: 85  train.loss : 6.90625  train.total_ips : 534.38 img/s
DLL 2020-03-07 03:28:57.433575 - Epoch: 1 Iteration: 86  train.loss : 6.89844  train.total_ips : 535.28 img/s
DLL 2020-03-07 03:28:57.732511 - Epoch: 1 Iteration: 87  train.loss : 6.90234  train.total_ips : 535.34 img/s
DLL 2020-03-07 03:28:58.031345 - Epoch: 1 Iteration: 88  train.loss : 6.90234  train.total_ips : 535.51 img/s
DLL 2020-03-07 03:28:58.330749 - Epoch: 1 Iteration: 89  train.loss : 6.89844  train.total_ips : 534.51 img/s
